data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
2020-02-25,0.0,0,0,0,,,,0.0
2020-02-26,1.0,1,0,0,,,,0.0
2020-02-27,1.0,0,0,0,,,,0.0
2020-02-28,1.0,0,0,0,,,,0.0
2020-02-29,2.0,1,0,0,,,,0.3010299956639812
2020-03-01,2.0,0,0,0,,,,0.3010299956639812
2020-03-02,2.0,0,0,0,,,,0.3010299956639812
2020-03-03,2.0,0,0,0,,,,0.3010299956639812
2020-03-04,3.0,1,0,0,,,,0.47712125471966244
2020-03-05,7.0,4,0,0,,,,0.8450980400142568
2020-03-06,13.0,6,0,0,,,,1.1139433523068367
2020-03-07,19.0,6,0,0,,,,1.2787536009528289
2020-03-08,25.0,6,0,0,,,,1.3979400086720377
2020-03-09,25.0,0,0,0,1.7857142857142858,0.0,,1.3979400086720377
2020-03-10,34.0,9,0,0,2.4285714285714284,0.0,,1.5314789170422551
2020-03-11,52.0,18,0,0,3.642857142857143,0.0,,1.7160033436347992
2020-03-12,77.0,25,0,0,5.428571428571429,0.0,,1.8864907251724818
2020-03-13,98.0,21,0,0,6.928571428571429,0.0,,1.9912260756924949
2020-03-14,121.0,23,0,0,8.5,0.0,,2.08278537031645
2020-03-15,200.0,79,0,0,14.142857142857142,0.0,,2.3010299956639813
2020-03-16,234.0,34,0,0,16.571428571428573,0.0,,2.369215857410143
2020-03-17,291.0,57,1,1,20.642857142857142,0.07142857142857142,,2.4638929889859074
2020-03-18,428.0,137,4,3,30.357142857142858,0.2857142857142857,,2.6314437690131722
2020-03-19,621.0,193,6,2,43.857142857142854,0.42857142857142855,,2.79309160017658
2020-03-20,904.0,283,11,5,63.642857142857146,0.7857142857142857,,2.9561684304753633
2020-03-21,1128.0,224,18,7,79.21428571428571,1.2857142857142858,,3.0523090996473234
2020-03-22,1546.0,418,25,7,108.64285714285714,1.7857142857142858,,3.189209489582306
2020-03-23,1891.0,345,34,9,133.28571428571428,2.4285714285714284,inf,3.27669152884504
2020-03-24,2201.0,310,46,12,154.78571428571428,3.2857142857142856,inf,3.342620042553348
2020-03-25,2433.0,232,57,11,170.07142857142858,4.071428571428571,inf,3.3861421089308186
2020-03-26,2915.0,482,77,20,202.71428571428572,5.5,inf,3.464638559095033
2020-03-27,3417.0,502,92,15,237.07142857142858,6.571428571428571,inf,3.5336449787987627
2020-03-28,3903.0,486,114,22,270.14285714285717,8.142857142857142,inf,3.5913985512812485
2020-03-29,4256.0,353,136,22,289.7142857142857,9.714285714285714,inf,3.6290016192869916
